title,posted_at,expires_at,created_at,salary_min,salary_max,industry_id,description,company_name,location,job_type,application_url,is_active,salary_period,is_bulk_upload,remote_type,approval_status,experience_level,contact_email,company_id,category,qualifications,responsibilities,is_featured,verified,applicant_count,outbound_clicks,applications_count,keywords,external_clicks
"Automotive Equipment Operator 1 (Parks, Recreation and Open Spaces Department)",2026-05-18T22:46:46.856962Z,2026-05-26T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,42321.12,61852.11,65,"Job ID: 101066 - Eighth grade. Six months of experience operating light equipment such as tractors and trucks, dump trucks, water tank trucks, or similar equipment are required. Must possess a CDL/Class B. A driving performance test will be given at the time of interview.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Sports Turf Supervisor 3 (Parks, Recreation and Open Spaces Department)",2026-05-18T22:46:46.856962Z,2026-05-26T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,59725.81,91565.14,61,"Job ID: 101067 - Bachelor's degree. Two years of experience in sports field landscape maintenance and sports field management to include supervisory experience is required. Must possess a valid Florida Driver's License CDL/Class A or B. Must obtain the Public Restricted Use Pesticides (RUP) License, Category 3 (Ornamental and Turf Pest Control) within six months of employment. Additional experience may substitute for education on a year-to-year basis.
 Certification from the Sports Turf Managers Association (STMA) or Sports Turf Manager Certification is preferred.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Plumber (Parks, Recreation and Open Spaces)",2026-05-18T22:46:46.856962Z,2026-05-26T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,64548.37,99103.76,54,"Job ID: 99426 - Eighth grade. Must possess a Miami-Dade County Certificate of Competency as a Journeyman Plumber. Must possess a Driver
 license and own hand tools.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Park Service Aide (Parks, Recreation & Open Spaces) (Part-Time)",2026-05-18T22:46:46.856962Z,2026-05-28T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,35456.8,35456.8,61,"Job ID: 100339 - High school diploma or GED. Three months of experience in customer contact, recreation, or general labor are required. Must possess a Driver license. Must be able to work days, nights, holidays,
 and weekends on a varied work schedule.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Range Safety Officer (Parks, Recreation & Open Spaces)",2026-05-18T22:46:46.856962Z,2026-05-28T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,42972.44,73099.54,58,"Job ID: 100351 - High school diploma or GED. One year of experience in the operation of firearms in a shooting range is required. Must possess a Range Safety Officer Certification or obtain one during the probationary period. Must possess a Drivers license. Must be able to work nights, weekends and holidays on a varying work schedule.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Landscape Supervisor 2 (Parks, Recreation & Open Spaces)",2026-05-18T22:46:46.856962Z,2026-05-29T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,41467.33,63104.54,25,Job ID: 100263 - High school diploma or GED. Two years of experience in landscape and grounds maintenance or tree trimming to include one year of supervisory experience are required. Must possess a Driver license. Some positions may require a CDL/Class B.,Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Guest Services Representative (Parks, Recreation and Open
 Spaces)",2026-05-18T22:46:46.856962Z,2026-06-02T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,35456.81,58823.73,17,"Job ID: 100343 - High school diploma or GED. One year of cash handling or customer/guest service experience is required. Must be able to work days, nights, holidays, and weekends on a varied work
 schedule.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Human Resources Compensation & Job Analyst Supervisor (People & Internal Operations),2026-05-18T22:46:46.856962Z,2026-05-19T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,97230.77,157186.88,32,"Job ID: 100990 - Bachelor's degree. A minimum of three to five years of experience in human resources to include payroll, recruitment or labor relations; OR minimum of three years of experience in data or job analysis, human resources metrics, market analysis, compensation surveys, or salary research are required. Additional experience in human resources to include payroll, recruitment or labor relations OR job analysis, human resources metrics, market analysis, compensation surveys, or salary research may substitute for the college education on a year-for-year basis.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Assistant Director, People and Internal Operations Department",2026-05-18T22:46:46.856962Z,2026-05-27T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,133660.42,347203.65,39,"Job ID: 101146 - Bachelor's degree. A minimum of six years of progressively responsible managerial and/or administrative fiscal management experience in the areas of budget administration, financial forecasting, accounting or fiscal analysis, to include supervisory
 experience is required.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Assistant Division Director, Recruitment, Testing, and Career Development (People & Internal Operations)",2026-05-18T22:46:46.856962Z,2026-05-28T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,119559.91,198513.61,53,"Job ID: 100991 - Bachelor's degree. A minimum of five years of professional human resources experience to include talent acquisition, employee development, strategic initiatives and/or project management, to include supervisory experience is required.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
