Job ID,title,expires_at,salary_min,salary_max,description,industry
98989,"Parks, Recreation & Open Spaces Recreation Specialist - Naturalist (Part-Time)",2026-06-30T00:00:00.000000Z,39731.79,65432.86,"Job ID: 98989 - High school diploma or GED. One year of experience in developing, directing or conducting interpretive programs as a park naturalist or a related position in organizations such as museums, camps, educational institutions, natural resource management/environmental protection programs, or related experience are required. Completion of related college coursework may substitute for the required experience on a year-for-year basis. Must possess a Driver license and must be able to work days, nights, holidays, and weekends on a varied work schedule.",Education
99030,"Parks, Recreation & Open Spaces Seasonal Programs Assistant (Part-Time)",2026-06-30T00:00:00.000000Z,34093.08,34093.08,"Job ID: 99030 - Must be at least 17 years old and be able to work days, nights, holidays, and weekends on a varied work schedule. Three months of academic, volunteer or work experience involving customer contact, recreation, or general labor is preferred.",Administrative
99013,"Interpretive Program Attendant (Parks, Recreation & Open Spaces) (Part-Time)",2026-06-30T00:00:00.000000Z,41207.74,68645.01,"Job ID: 99013 - High school diploma or GED. One year of customer service or tourism related experience is required. Must possess excellent communication skills. Must be able to work days, nights, weekends and holidays on a varying schedule. Must possess a valid Driver's
 License.",Education
99011,"Swim Instructor (Parks, Recreation & Open Spaces) (Part-Time)",2026-06-30T00:00:00.000000Z,38638.82,38638.82,"Job ID: 99011 - Must possess certifications in adult and infant/child CPR, first aid, and water safety instruction provided by the Red Cross, YMCA or other nationally recognized aquatic training program. Must be 17 years of age. Must successfully complete a high-risk physical exam, including drug/alcohol screening. Continued employment requires successful completion of skills test and physical exam on demand and maintenance of all required certifications.",Education
98995,"Parks, Recreation & Open Spaces Recreation Specialist (Part-Time)",2026-06-30T00:00:00.000000Z,39731.79,65432.86,"Job ID: 98995 - High school diploma or GED. One year of experience in the delivery of recreation and/or sports programs or in a customer service or related field. Coursework in Recreation, Physical Education, Park and Recreation Management, Sports Administration, Business Administration, Public Administration or related field may substitute for the required experience on a year-for-year basis. Must possess a Driver license. Must be able to work days, nights, holidays, and weekends on a varied work schedule.",Sports and Recreation
98834,"Pool Manager (Parks, Recreation & Open Spaces) (Part-Time)",2026-06-30T00:00:00.000000Z,50389.58,50389.58,"Job ID: 98834 - High school diploma or GED. One season as a Senior Pool/Lake Lifeguard or equivalent is required. Must possess certifications in adult, infant/child and two-person CPR, first aid, lifeguarding and water safety instruction provided by the Red Cross, YMCA or other nationally recognized aquatic training program. Must be 18 years of age. Must successfully complete a high-risk physical exam, including drug/alcohol screening, and the Miami-Dade County aquatic operations skills test. Continued employment requires successful completion of skills test and physical examination on demand and maintenance of all required certifications.",Management
98832,"Senior Pool/Lake Lifeguard - Summer (Parks, Recreation & Open Spaces) (Part-Time)",2026-06-30T00:00:00.000000Z,40798.05,40798.05,"Job ID: 98832 - One season of experience as a Pool/Lake Lifeguard or equivalent is required. Must possess certifications in adult, infant/child and two-person CPR, first aid, lifeguarding and water safety instruction provided by the Red Cross, YMCA or other nationally recognized aquatic training program. Must be 17 years of age. Must successfully complete a high-risk physical exam, including drug/alcohol screening; meet vision standard of 20/40 each eye uncorrected; and successfully complete the Miami-Dade County lifeguard skills test. Continued employment requires successful completion of skills test and physical exam, including vision standard, on demand and maintenance of all required certifications.",Sports and Recreation
98829,"Pool/Lake Lifeguard - Summer (Parks, Recreation & Open Spaces) (Part-Time)",2026-06-30T00:00:00.000000Z,36365.95,36365.95,"Job ID: 98829 - Must possess certifications in adult, infant/child and two-person CPR, first aid and lifeguarding provided by the Red Cross, YMCA or other nationally recognized aquatic training program. Must be 17 years of age. Must successfully complete a high-risk physical exam, including drug/alcohol screening; meet vision standard of 20/40 each eye uncorrected; and successfully complete the Miami Dade County lifeguard skills test. Continued employment requires successful completion of skills test and physical exam, including vision standard, on demand and maintenance of all required certifications.",Sports and Recreation
100990,Human Resources Compensation & Job Analyst Supervisor (People & Internal Operations),2026-05-19T00:00:00.000000Z,97230.77,157186.88,"Job ID: 100990 - Bachelor's degree. A minimum of three to five years of experience in human resources to include payroll, recruitment or labor relations; OR minimum of three years of experience in data or job analysis, human resources metrics, market analysis, compensation surveys, or salary research are required. Additional experience in human resources to include payroll, recruitment or labor relations OR job analysis, human resources metrics, market analysis, compensation surveys, or salary research may substitute for the college education on a year-for-year basis.",Human Resources
101146,"Assistant Director, People and Internal Operations Department",2026-05-27T00:00:00.000000Z,133660.42,347203.65,"Job ID: 101146 - Bachelor's degree. A minimum of six years of progressively responsible managerial and/or administrative fiscal management experience in the areas of budget administration, financial forecasting, accounting or fiscal analysis, to include supervisory
 experience is required.",Management
